order_id,order_date,customer_id,payment_method,sales_channel,order_status
71,2025-02-17,10,PayPal,Online,Completed
72,2025-02-28,129,Credit Card,Store,Completed
73,2025-02-25,38,Cash,Online,Completed
74,2025-02-22,33,Credit Card,Online,Completed
75,2025-02-20,123,PayPal,Online,Cancelled
76,2025-02-23,16,Credit Card,Store,Completed
77,2025-02-10,34,Bank Transfer,Store,Completed
78,2025-02-13,26,Cash,Online,Completed
79,2025-02-16,124,Credit Card,Online,Completed
80,2025-02-25,126,PayPal,Marketplace,Completed
81,2025-02-12,32,PayPal,Online,Completed
82,2025-02-18,123,Cash,Online,Completed
83,2025-02-18,23,PayPal,Online,Completed
84,2025-02-22,18,Bank Transfer,Online,Completed
85,2025-02-12,51,Credit Card,Store,Completed
86,2025-02-07,118,Credit Card,Online,Completed
87,2025-02-06,143,Credit Card,Store,Completed
88,2025-02-28,3,Credit Card,Marketplace,Completed
89,2025-02-03,88,Credit Card,Marketplace,Completed
90,2025-02-21,118,PayPal,Marketplace,Completed
91,2025-02-02,96,Credit Card,Online,Completed
92,2025-02-04,1,PayPal,Online,Completed
93,2025-02-10,81,Cash,Online,Completed
94,2025-02-22,78,Credit Card,Store,Completed
95,2025-02-20,105,Credit Card,Marketplace,Completed
96,2025-02-25,74,Credit Card,Online,Completed
97,2025-02-06,147,Credit Card,Online,Completed
98,2025-02-02,121,Credit Card,Online,Completed
99,2025-02-25,107,Credit Card,Marketplace,Completed
100,2025-03-16,42,Bank Transfer,Marketplace,Completed
101,2025-03-26,109,Credit Card,Online,Completed
102,2025-03-03,140,Bank Transfer,Online,Completed
103,2025-03-09,97,Bank Transfer,Store,Completed
104,2025-03-24,13,Credit Card,Store,Completed
105,2025-03-03,25,Credit Card,Marketplace,Completed
106,2025-03-03,58,Credit Card,Online,Completed
107,2025-03-17,4,Bank Transfer,Marketplace,Completed
108,2025-03-19,48,Credit Card,Store,Cancelled
109,2025-03-20,32,Credit Card,Marketplace,Completed
110,2025-03-10,72,PayPal,Online,Completed
111,2025-03-10,120,Credit Card,Online,Completed
112,2025-03-23,125,PayPal,Online,Completed
113,2025-03-16,137,PayPal,Marketplace,Completed
114,2025-03-11,137,Bank Transfer,Store,Completed
115,2025-03-13,33,PayPal,Online,Completed
116,2025-03-13,95,Credit Card,Store,Completed
117,2025-03-09,131,PayPal,Store,Completed
118,2025-03-08,113,Bank Transfer,Online,Completed
119,2025-03-07,8,Credit Card,Online,Completed
120,2025-03-01,132,Credit Card,Online,Completed
121,2025-03-18,79,Bank Transfer,Marketplace,Completed
122,2025-03-13,53,PayPal,Store,Completed
123,2025-03-21,70,Credit Card,Online,Completed
124,2025-03-09,29,Cash,Store,Completed
125,2025-03-11,60,Credit Card,Online,Completed
126,2025-03-17,22,Credit Card,Online,Completed
127,2025-03-02,27,Cash,Online,Completed
128,2025-03-28,112,Credit Card,Marketplace,Completed
129,2025-03-19,51,Cash,Marketplace,Completed
130,2025-03-06,31,Credit Card,Online,Completed
131,2025-03-10,24,Cash,Online,Completed
132,2025-03-12,73,Credit Card,Store,Completed
133,2025-03-07,65,Credit Card,Store,Completed
134,2025-03-05,81,Bank Transfer,Online,Completed
135,2025-03-16,27,Bank Transfer,Store,Completed
136,2025-03-17,40,Credit Card,Marketplace,Completed
137,2025-03-04,109,Bank Transfer,Marketplace,Completed
138,2025-03-28,23,PayPal,Online,Cancelled
139,2025-03-27,87,Credit Card,Online,Completed
140,2025-03-20,63,Credit Card,Online,Completed
141,2025-03-28,84,Credit Card,Online,Completed
142,2025-03-01,53,Credit Card,Store,Cancelled
143,2025-03-22,27,Bank Transfer,Online,Completed
144,2025-03-14,112,PayPal,Online,Cancelled
145,2025-03-17,36,Credit Card,Online,Refunded
146,2025-03-24,19,Cash,Store,Completed
147,2025-03-26,74,Cash,Online,Completed
148,2025-03-25,67,Credit Card,Online,Completed
149,2025-03-22,72,Credit Card,Online,Completed
150,2025-03-21,83,Credit Card,Online,Cancelled
151,2025-03-08,14,Credit Card,Store,Completed
152,2025-03-23,36,Bank Transfer,Store,Completed
153,2025-03-01,75,Credit Card,Online,Completed
154,2025-03-07,103,PayPal,Online,Completed
155,2025-03-17,6,Bank Transfer,Online,Completed
156,2025-04-17,12,Bank Transfer,Online,Completed
157,2025-04-26,105,Credit Card,Store,Cancelled
158,2025-04-03,107,PayPal,Online,Completed
159,2025-04-19,6,Cash,Online,Completed
160,2025-04-20,54,Bank Transfer,Online,Completed
161,2025-04-19,67,Credit Card,Online,Completed
162,2025-04-25,7,PayPal,Online,Completed
163,2025-04-06,81,Credit Card,Marketplace,Completed
164,2025-04-28,120,Credit Card,Online,Completed
165,2025-04-20,77,Credit Card,Marketplace,Completed
166,2025-04-01,116,Credit Card,Marketplace,Completed
167,2025-04-23,127,Credit Card,Marketplace,Completed
168,2025-04-12,140,Bank Transfer,Store,Completed
169,2025-04-12,71,Bank Transfer,Online,Completed
170,2025-04-26,58,Bank Transfer,Store,Completed
171,2025-04-28,10,Bank Transfer,Online,Completed
172,2025-04-02,43,Bank Transfer,Store,Completed
173,2025-04-08,148,Credit Card,Online,Completed
174,2025-04-04,82,Credit Card,Online,Completed
175,2025-04-14,10,Cash,Store,Completed
176,2025-04-09,50,Credit Card,Marketplace,Completed
177,2025-04-11,135,Credit Card,Online,Completed
178,2025-04-20,120,Credit Card,Store,Completed
179,2025-04-12,142,Bank Transfer,Store,Completed
180,2025-04-02,88,PayPal,Marketplace,Refunded
181,2025-04-21,108,Credit Card,Online,Completed
182,2025-04-26,32,Cash,Store,Completed
183,2025-04-05,139,PayPal,Marketplace,Cancelled
184,2025-04-27,138,Credit Card,Store,Completed
185,2025-04-08,44,Credit Card,Online,Completed
186,2025-04-21,70,Bank Transfer,Marketplace,Cancelled
187,2025-04-19,120,Credit Card,Online,Completed
188,2025-04-28,108,PayPal,Store,Completed
189,2025-04-18,116,Cash,Marketplace,Completed
190,2025-04-01,128,Cash,Marketplace,Completed
191,2025-04-24,83,Credit Card,Online,Completed
192,2025-04-22,46,Credit Card,Marketplace,Completed
193,2025-04-24,100,Credit Card,Store,Completed
194,2025-04-01,131,Credit Card,Online,Completed
195,2025-04-26,147,Bank Transfer,Online,Completed
196,2025-04-10,143,Credit Card,Online,Completed
197,2025-04-19,38,Credit Card,Online,Completed
198,2025-04-16,86,Bank Transfer,Marketplace,Completed
199,2025-04-06,79,Bank Transfer,Store,Completed
200,2025-04-15,23,Credit Card,Online,Completed
201,2025-04-07,14,Credit Card,Store,Completed
202,2025-04-21,88,Credit Card,Store,Completed
203,2025-04-08,62,PayPal,Online,Completed
204,2025-04-27,28,Credit Card,Marketplace,Completed
205,2025-04-15,20,PayPal,Store,Completed
206,2025-04-27,24,Credit Card,Online,Completed
207,2025-04-23,49,Credit Card,Store,Completed
208,2025-04-23,132,Bank Transfer,Store,Completed
209,2025-04-24,142,PayPal,Store,Completed
210,2025-04-03,4,Credit Card,Online,Completed
211,2025-04-12,83,Credit Card,Marketplace,Cancelled
212,2025-04-23,112,PayPal,Store,Completed
213,2025-04-22,103,Bank Transfer,Marketplace,Cancelled
214,2025-04-23,95,Credit Card,Online,Completed
215,2025-04-08,113,Credit Card,Online,Completed
216,2025-04-24,141,Bank Transfer,Online,Completed
217,2025-05-13,24,Credit Card,Online,Completed
218,2025-05-24,35,Bank Transfer,Store,Refunded
219,2025-05-08,122,Cash,Online,Completed
220,2025-05-01,93,Bank Transfer,Store,Completed
221,2025-05-13,102,Credit Card,Online,Completed
222,2025-05-07,70,Credit Card,Online,Completed
223,2025-05-10,56,Credit Card,Store,Completed
224,2025-05-01,132,Cash,Online,Cancelled
225,2025-05-13,108,PayPal,Online,Completed
226,2025-05-18,131,PayPal,Marketplace,Completed
227,2025-05-28,21,PayPal,Online,Refunded
228,2025-05-28,112,PayPal,Online,Completed
229,2025-05-11,94,Credit Card,Online,Completed
230,2025-05-21,124,Bank Transfer,Store,Completed
231,2025-05-24,138,Credit Card,Online,Completed
232,2025-05-22,61,PayPal,Online,Completed
233,2025-05-28,109,Credit Card,Online,Completed
234,2025-05-27,135,PayPal,Online,Completed
235,2025-05-09,80,PayPal,Store,Cancelled
236,2025-05-14,73,Credit Card,Online,Completed
237,2025-05-16,43,Credit Card,Online,Completed
238,2025-05-22,92,Credit Card,Online,Completed
239,2025-05-15,136,Bank Transfer,Marketplace,Completed
240,2025-05-10,3,Credit Card,Store,Completed
241,2025-05-16,20,Credit Card,Online,Cancelled
242,2025-05-07,99,Bank Transfer,Online,Completed
243,2025-05-11,96,Credit Card,Online,Completed
244,2025-05-01,59,Bank Transfer,Online,Completed
245,2025-05-19,76,Bank Transfer,Marketplace,Completed
246,2025-05-24,147,Credit Card,Store,Completed
247,2025-05-10,61,Cash,Store,Completed
248,2025-05-08,105,PayPal,Store,Completed
249,2025-05-22,143,Credit Card,Store,Completed
250,2025-05-15,87,Bank Transfer,Online,Completed
251,2025-05-26,56,Credit Card,Online,Completed
252,2025-05-08,13,Credit Card,Online,Completed
253,2025-05-19,4,Cash,Online,Completed
254,2025-05-13,80,Bank Transfer,Online,Completed
255,2025-05-23,78,Credit Card,Marketplace,Completed
256,2025-05-15,36,Bank Transfer,Marketplace,Completed
257,2025-05-19,103,PayPal,Marketplace,Completed
258,2025-05-08,148,Bank Transfer,Online,Cancelled
259,2025-05-24,75,Credit Card,Online,Completed
260,2025-05-14,65,Bank Transfer,Online,Completed
261,2025-05-04,51,PayPal,Store,Cancelled
262,2025-05-25,76,Credit Card,Store,Completed
263,2025-05-04,45,Cash,Store,Completed
264,2025-05-02,36,Credit Card,Online,Completed
265,2025-05-11,22,Cash,Marketplace,Completed
266,2025-05-14,23,PayPal,Online,Completed
267,2025-05-28,23,PayPal,Store,Completed
268,2025-05-24,119,Credit Card,Online,Cancelled
269,2025-05-26,22,PayPal,Marketplace,Completed
270,2025-05-06,81,Credit Card,Store,Completed
271,2025-05-12,69,Bank Transfer,Marketplace,Completed
272,2025-05-21,57,Bank Transfer,Online,Refunded
273,2025-05-02,109,Bank Transfer,Online,Completed
274,2025-05-26,133,Credit Card,Online,Completed
275,2025-05-06,100,Credit Card,Online,Completed
276,2025-05-08,7,Credit Card,Store,Completed
277,2025-05-02,95,Bank Transfer,Store,Completed
278,2025-05-06,47,Credit Card,Online,Completed
279,2025-05-19,32,PayPal,Store,Completed
280,2025-05-22,19,Cash,Store,Completed
281,2025-05-08,147,PayPal,Online,Completed
282,2025-05-23,47,Bank Transfer,Online,Completed
283,2025-06-17,122,Credit Card,Store,Completed
284,2025-06-16,147,PayPal,Online,Completed
285,2025-06-13,17,Credit Card,Online,Completed
286,2025-06-07,96,Cash,Store,Completed
287,2025-06-03,2,Bank Transfer,Online,Completed
288,2025-06-12,64,Credit Card,Marketplace,Cancelled
289,2025-06-12,69,PayPal,Store,Completed
290,2025-06-12,88,Credit Card,Marketplace,Completed
291,2025-06-28,120,Credit Card,Online,Refunded
292,2025-06-11,50,Credit Card,Store,Completed
293,2025-06-12,112,Bank Transfer,Online,Completed
294,2025-06-07,6,Credit Card,Online,Completed
295,2025-06-03,16,Credit Card,Online,Completed
296,2025-06-05,12,Credit Card,Online,Completed
297,2025-06-02,73,Bank Transfer,Online,Completed
298,2025-06-16,66,Credit Card,Online,Completed
299,2025-06-25,71,PayPal,Store,Completed
300,2025-06-27,92,Bank Transfer,Online,Completed
301,2025-06-10,52,Cash,Marketplace,Completed
302,2025-06-18,58,PayPal,Store,Completed
303,2025-06-22,99,Credit Card,Store,Completed
304,2025-06-17,6,Bank Transfer,Online,Completed
305,2025-06-27,65,PayPal,Online,Completed
306,2025-06-19,27,Credit Card,Online,Completed
307,2025-06-14,24,PayPal,Online,Completed
308,2025-06-01,62,Credit Card,Online,Completed
309,2025-06-19,32,Credit Card,Online,Completed
310,2025-06-18,25,Credit Card,Online,Completed
311,2025-06-24,67,Cash,Online,Completed
312,2025-06-01,43,Credit Card,Store,Refunded
313,2025-06-13,27,PayPal,Store,Completed
314,2025-06-13,106,Bank Transfer,Online,Completed
315,2025-06-16,138,Credit Card,Store,Cancelled
316,2025-06-05,116,Credit Card,Store,Completed
317,2025-06-24,18,Credit Card,Online,Completed
318,2025-06-03,25,PayPal,Online,Completed
319,2025-06-02,107,PayPal,Store,Refunded
320,2025-06-02,75,Bank Transfer,Online,Completed
321,2025-06-10,132,Bank Transfer,Store,Completed
322,2025-06-20,4,Credit Card,Store,Completed
323,2025-06-06,2,Credit Card,Online,Completed
324,2025-06-09,65,Credit Card,Online,Completed
325,2025-06-27,74,Bank Transfer,Online,Completed
326,2025-06-08,4,Bank Transfer,Marketplace,Completed
327,2025-06-23,96,Bank Transfer,Online,Completed
328,2025-06-27,110,PayPal,Store,Completed
329,2025-06-25,16,Credit Card,Online,Completed
330,2025-06-26,59,PayPal,Store,Completed
331,2025-06-01,31,PayPal,Online,Completed
332,2025-06-01,126,Credit Card,Online,Completed
333,2025-06-26,15,PayPal,Marketplace,Completed
334,2025-06-24,143,Credit Card,Online,Completed
335,2025-06-16,135,Cash,Online,Refunded
336,2025-06-03,12,Bank Transfer,Store,Completed
337,2025-06-01,17,Credit Card,Store,Completed
338,2025-06-17,21,Cash,Online,Completed
339,2025-06-24,149,Bank Transfer,Store,Completed
340,2025-06-23,105,Credit Card,Online,Completed
341,2025-06-22,144,Bank Transfer,Store,Completed
342,2025-06-11,102,Credit Card,Online,Completed
343,2025-06-05,68,PayPal,Store,Completed
344,2025-06-11,49,Credit Card,Online,Refunded
345,2025-06-27,57,Credit Card,Online,Completed
346,2025-06-13,114,Credit Card,Store,Completed
347,2025-06-13,75,Bank Transfer,Online,Completed
348,2025-06-26,26,Cash,Online,Completed
349,2025-06-07,26,Bank Transfer,Marketplace,Completed
350,2025-06-04,92,Credit Card,Online,Completed
351,2025-06-20,23,Credit Card,Marketplace,Completed
352,2025-06-02,73,Cash,Marketplace,Completed
353,2025-06-04,71,PayPal,Online,Cancelled
354,2025-07-18,15,Cash,Online,Completed
355,2025-07-04,125,Bank Transfer,Online,Refunded
356,2025-07-05,111,PayPal,Online,Completed
357,2025-07-15,120,Cash,Online,Completed
358,2025-07-25,15,Credit Card,Store,Completed
359,2025-07-06,83,Credit Card,Store,Completed
360,2025-07-06,11,Bank Transfer,Store,Completed
361,2025-07-17,105,PayPal,Online,Completed
362,2025-07-14,4,PayPal,Online,Completed
363,2025-07-14,37,Credit Card,Online,Completed
364,2025-07-26,38,PayPal,Store,Refunded
365,2025-07-20,18,Credit Card,Online,Completed
366,2025-07-16,32,Bank Transfer,Online,Completed
367,2025-07-12,71,PayPal,Online,Completed
368,2025-07-17,11,PayPal,Online,Completed
369,2025-07-24,140,Credit Card,Online,Completed
370,2025-07-14,109,Credit Card,Marketplace,Completed
371,2025-07-10,134,Credit Card,Store,Completed
372,2025-07-14,92,PayPal,Online,Completed
373,2025-07-20,37,Credit Card,Online,Completed
374,2025-07-20,5,Bank Transfer,Store,Completed
375,2025-07-22,91,PayPal,Marketplace,Completed
376,2025-07-10,52,PayPal,Store,Completed
377,2025-07-14,144,PayPal,Online,Completed
378,2025-07-06,30,Credit Card,Online,Completed
379,2025-07-19,70,Credit Card,Store,Completed
380,2025-07-12,34,PayPal,Marketplace,Completed
381,2025-07-09,115,PayPal,Marketplace,Cancelled
382,2025-07-22,129,Credit Card,Marketplace,Completed
383,2025-07-01,116,Credit Card,Store,Completed
384,2025-07-25,132,Credit Card,Store,Refunded
385,2025-07-13,7,Bank Transfer,Store,Completed
386,2025-07-20,103,Bank Transfer,Store,Completed
387,2025-07-07,45,PayPal,Store,Completed
388,2025-07-25,122,PayPal,Marketplace,Cancelled
389,2025-07-12,86,Credit Card,Online,Completed
390,2025-07-11,113,Credit Card,Online,Completed
391,2025-07-11,135,Credit Card,Marketplace,Completed
392,2025-07-04,93,Credit Card,Marketplace,Completed
393,2025-07-06,13,Credit Card,Online,Completed
394,2025-07-24,113,Bank Transfer,Online,Completed
395,2025-07-09,53,Bank Transfer,Marketplace,Refunded
396,2025-07-02,2,Credit Card,Store,Completed
397,2025-07-12,136,Bank Transfer,Online,Cancelled
398,2025-07-23,144,Credit Card,Marketplace,Completed
399,2025-07-07,13,PayPal,Online,Completed
400,2025-07-01,37,Credit Card,Store,Completed
401,2025-07-19,55,Credit Card,Online,Completed
402,2025-07-03,35,Credit Card,Store,Cancelled
403,2025-07-06,57,Cash,Marketplace,Completed
404,2025-07-11,92,Bank Transfer,Online,Completed
405,2025-07-28,86,Credit Card,Online,Completed
406,2025-07-25,134,Credit Card,Store,Completed
407,2025-07-20,100,Credit Card,Marketplace,Cancelled
408,2025-07-04,37,Credit Card,Online,Completed
409,2025-07-12,22,Credit Card,Store,Completed
410,2025-07-21,37,Credit Card,Online,Completed
411,2025-07-12,107,PayPal,Online,Completed
412,2025-07-03,23,PayPal,Store,Cancelled
413,2025-07-24,103,Credit Card,Online,Completed
414,2025-07-21,21,Credit Card,Online,Completed
415,2025-07-27,92,Credit Card,Store,Completed
416,2025-07-16,1,Credit Card,Store,Completed
417,2025-07-15,15,Bank Transfer,Store,Refunded
418,2025-07-15,52,Credit Card,Store,Completed
419,2025-07-14,110,Credit Card,Marketplace,Completed
420,2025-08-13,50,PayPal,Online,Completed
421,2025-08-02,45,Credit Card,Marketplace,Completed
422,2025-08-01,87,Cash,Marketplace,Completed
423,2025-08-19,125,Credit Card,Marketplace,Completed
424,2025-08-11,115,Credit Card,Marketplace,Completed
425,2025-08-10,50,PayPal,Online,Completed
426,2025-08-21,144,Credit Card,Store,Completed
427,2025-08-27,52,Credit Card,Store,Completed
428,2025-08-08,61,Bank Transfer,Store,Completed
429,2025-08-01,127,Credit Card,Online,Completed
430,2025-08-14,106,Bank Transfer,Store,Cancelled
431,2025-08-23,16,Credit Card,Online,Completed
432,2025-08-10,24,PayPal,Online,Completed
433,2025-08-10,80,PayPal,Online,Completed
434,2025-08-09,18,Credit Card,Online,Cancelled
435,2025-08-22,136,Credit Card,Online,Refunded
436,2025-08-27,10,Credit Card,Online,Completed
437,2025-08-03,147,Credit Card,Online,Cancelled
438,2025-08-04,25,Cash,Online,Completed
439,2025-08-27,140,Cash,Store,Completed
440,2025-08-11,150,Bank Transfer,Online,Completed
441,2025-08-04,99,Bank Transfer,Online,Completed
442,2025-08-17,139,Cash,Store,Completed
443,2025-08-08,79,Bank Transfer,Online,Completed
444,2025-08-07,48,PayPal,Online,Completed
445,2025-08-06,115,Bank Transfer,Online,Completed
446,2025-08-04,43,Credit Card,Online,Completed
447,2025-08-12,95,Credit Card,Online,Completed
448,2025-08-10,44,Credit Card,Online,Completed
449,2025-08-17,46,Bank Transfer,Online,Completed
450,2025-08-08,144,Credit Card,Online,Completed
451,2025-08-03,123,Credit Card,Online,Cancelled
452,2025-08-22,118,Bank Transfer,Store,Completed
453,2025-08-14,74,Bank Transfer,Online,Completed
454,2025-08-02,108,Credit Card,Online,Completed
455,2025-08-25,78,PayPal,Marketplace,Completed
456,2025-08-18,110,PayPal,Store,Completed
457,2025-08-11,99,Credit Card,Online,Completed
458,2025-08-26,91,Bank Transfer,Marketplace,Completed
459,2025-08-12,25,Credit Card,Marketplace,Cancelled
460,2025-08-07,102,Bank Transfer,Online,Completed
461,2025-08-13,136,Bank Transfer,Store,Completed
462,2025-08-10,141,Bank Transfer,Marketplace,Completed
463,2025-08-13,103,PayPal,Store,Completed
464,2025-08-10,94,Bank Transfer,Online,Completed
465,2025-08-26,48,Bank Transfer,Marketplace,Completed
466,2025-08-02,118,Bank Transfer,Store,Completed
467,2025-08-14,58,Bank Transfer,Marketplace,Completed
468,2025-08-21,18,Credit Card,Store,Completed
469,2025-08-08,136,Credit Card,Store,Completed
470,2025-08-08,72,Credit Card,Store,Completed
471,2025-08-15,126,Credit Card,Store,Completed
472,2025-08-04,7,Credit Card,Store,Completed
473,2025-08-15,150,Cash,Online,Completed
474,2025-08-25,67,Bank Transfer,Online,Completed
475,2025-08-24,139,PayPal,Store,Completed
476,2025-08-15,116,Credit Card,Marketplace,Completed
477,2025-08-02,147,PayPal,Online,Completed
478,2025-08-07,77,Credit Card,Store,Completed
479,2025-08-20,32,Bank Transfer,Store,Completed
480,2025-08-19,98,Bank Transfer,Store,Completed
481,2025-09-03,78,Credit Card,Online,Refunded
482,2025-09-10,32,PayPal,Store,Completed
483,2025-09-11,15,Bank Transfer,Online,Completed
484,2025-09-23,39,PayPal,Online,Completed
485,2025-09-03,56,PayPal,Online,Cancelled
486,2025-09-11,79,PayPal,Online,Completed
487,2025-09-13,117,Credit Card,Online,Completed
488,2025-09-04,40,Credit Card,Online,Completed
489,2025-09-27,28,Credit Card,Store,Completed
490,2025-09-28,144,PayPal,Online,Completed
491,2025-09-27,125,PayPal,Online,Completed
492,2025-09-11,76,PayPal,Store,Cancelled
493,2025-09-11,96,Credit Card,Marketplace,Completed
494,2025-09-10,66,Credit Card,Online,Completed
495,2025-09-16,131,Credit Card,Online,Completed
496,2025-09-11,73,Cash,Store,Completed
497,2025-09-15,77,Credit Card,Online,Completed
498,2025-09-19,110,Cash,Store,Cancelled
499,2025-09-13,95,PayPal,Online,Completed
500,2025-09-23,112,Cash,Store,Completed
501,2025-09-21,146,Credit Card,Store,Refunded
502,2025-09-12,19,Cash,Online,Cancelled
503,2025-09-24,33,Cash,Store,Completed
504,2025-09-20,85,Credit Card,Marketplace,Completed
505,2025-09-15,120,Bank Transfer,Store,Completed
506,2025-09-23,104,Bank Transfer,Store,Cancelled
507,2025-09-16,55,Cash,Marketplace,Completed
508,2025-09-02,102,Bank Transfer,Online,Completed
509,2025-09-15,33,PayPal,Marketplace,Completed
510,2025-09-12,138,Credit Card,Store,Completed
511,2025-09-13,120,Credit Card,Store,Completed
512,2025-09-07,130,Credit Card,Online,Completed
513,2025-09-25,2,Credit Card,Online,Cancelled
514,2025-09-13,62,Bank Transfer,Marketplace,Completed
515,2025-09-28,18,PayPal,Online,Completed
516,2025-09-19,51,Credit Card,Marketplace,Completed
517,2025-09-02,14,Credit Card,Store,Completed
518,2025-09-04,44,Cash,Store,Cancelled
519,2025-09-13,124,Bank Transfer,Online,Completed
520,2025-09-14,80,PayPal,Online,Completed
521,2025-09-08,134,Credit Card,Store,Completed
522,2025-09-24,63,Credit Card,Online,Completed
523,2025-09-28,44,PayPal,Store,Completed
524,2025-09-27,113,Cash,Online,Completed
525,2025-09-21,65,PayPal,Online,Completed
526,2025-09-23,12,PayPal,Online,Completed
527,2025-09-04,53,Credit Card,Online,Completed
528,2025-09-15,7,Bank Transfer,Marketplace,Cancelled
529,2025-09-09,131,Bank Transfer,Store,Completed
530,2025-09-13,94,Credit Card,Online,Completed
531,2025-09-06,127,PayPal,Online,Completed
532,2025-09-26,140,Cash,Online,Completed
533,2025-09-14,15,Credit Card,Online,Completed
534,2025-09-05,56,Credit Card,Online,Completed
535,2025-09-06,56,Bank Transfer,Store,Completed
536,2025-09-11,36,Cash,Online,Refunded
537,2025-09-25,48,Bank Transfer,Store,Completed
538,2025-09-28,103,Cash,Marketplace,Completed
539,2025-09-23,119,Credit Card,Store,Completed
540,2025-09-28,93,Cash,Store,Completed
541,2025-09-24,44,Credit Card,Marketplace,Completed
542,2025-09-28,125,Credit Card,Online,Completed
543,2025-09-10,131,Credit Card,Online,Completed
544,2025-09-12,105,Credit Card,Online,Completed
545,2025-09-08,81,Bank Transfer,Online,Completed
546,2025-09-04,148,Credit Card,Marketplace,Completed
547,2025-09-18,6,PayPal,Online,Completed
548,2025-09-08,111,PayPal,Marketplace,Completed
549,2025-09-21,52,Bank Transfer,Store,Completed
550,2025-09-14,85,Credit Card,Store,Completed
551,2025-09-01,8,Credit Card,Online,Completed
552,2025-10-19,119,Credit Card,Marketplace,Cancelled
553,2025-10-18,150,PayPal,Online,Completed
554,2025-10-26,98,PayPal,Online,Completed
555,2025-10-01,101,PayPal,Online,Completed
556,2025-10-26,150,Credit Card,Online,Completed
557,2025-10-05,113,Credit Card,Marketplace,Cancelled
558,2025-10-05,11,Bank Transfer,Store,Completed
559,2025-10-17,53,Credit Card,Store,Cancelled
560,2025-10-28,32,Bank Transfer,Marketplace,Completed
561,2025-10-11,105,Credit Card,Online,Completed
562,2025-10-08,143,Credit Card,Online,Completed
563,2025-10-27,77,Bank Transfer,Online,Completed
